UsingModule;Table;C;R;U;D;HostingModule;Service Description 
CORE;AADVO;;x;;;Account_Management;
CORE;AAFRO;;x;;x;Account_Management;
CORE;AAISO;;x;;;General_Ledger;
CORE;AASPL;x;;;;General_Ledger;
General_Ledger;AASPS;x;;x;;CORE;[T] Store booking parameters
Account_Management;AASPS;x;;x;;CORE;[T] Store booking parameters
Lending;AASPS;x;;x;;CORE;[T] Store booking parameters
Financial_Markets;AASPS;x;;x;;CORE;[T] Store booking parameters
Cash_Management;AASPS;x;;x;;CORE;[T] Store booking parameters
auxiliary;AASPS;x;;x;;CORE;
CORE;ABA1L;;x;;x;General_Ledger;
Account_Management;ABA1S;;x;;;General_Ledger;[T] Get Account Creation Parameters
Lending;ABA1S;;x;;;General_Ledger;Get  Account Creation Parameters
Financial_Markets;ABA1S;;x;;;General_Ledger;[T] Get Account Creation Parameters
Cash_Management;ABA1S;;x;;;General_Ledger;[T] Get Account Creation Parameters
CORE;ABA1S;;x;;;General_Ledger;
auxiliary;ABA1S;;x;;;General_Ledger;
General_Ledger;ABASS;;x;;;auxiliary;
Account_Management;ABASS;;x;;;auxiliary;
CORE;ABCLL;x;;;;Financial_Markets;
CORE;ABCLO;x;x;x;;Financial_Markets;
auxiliary;ABCLO;x;x;x;;Financial_Markets;
General_Ledger;ABKTL;x;;;;General_Ledger;[T] NO SERVICE REQUIRED
CORE;ABKTL;x;;;;General_Ledger;
Account_Management;ABKTS;;x;x;;General_Ledger;[T] Set Booking rules / [T] Get Booking definitions
Financial_Markets;ABKTS;;x;x;;General_Ledger;[T] Set Booking rules / [T] Get Booking definitions
Cash_Management;ABKTS;;x;x;;General_Ledger;[T] Set Booking rules / [T] Get Booking definitions
CORE;ABKTS;;x;x;;General_Ledger;
auxiliary;ABKTS;;x;x;;General_Ledger;
General_Ledger;ABUDL;;;;x;General_Ledger;[T] NO SERVICE REQUIRED
Account_Management;ACVRO;x;x;x;x;auxiliary;
Lending;ACVRO;x;x;x;x;auxiliary;
Financial_Markets;ACVRO;x;x;x;x;auxiliary;
Cash_Management;ACVRO;x;x;x;x;auxiliary;
CORE;ACVRO;x;x;x;x;auxiliary;
CORE;ADEIO;;x;;x;Account_Management;
auxiliary;ADEIO;;x;;x;Account_Management;
Account_Management;ADETL;x;;;;Account_Management;[T] NO SERVICE REQUIRED
Financial_Markets;ADETL;x;;;;Account_Management;[T] See ADETS
CORE;ADETL;x;;;;Account_Management;
General_Ledger;ADETS;;x;;;Account_Management;[T] Get Customer Account
Lending;ADETS;;x;;;Account_Management;Get Customer Account 
Financial_Markets;ADETS;;x;;;Account_Management;[T] Get Customer Account
Cash_Management;ADETS;;x;;;Account_Management;[T] Get Customer Account
CORE;ADETS;;x;;;Account_Management;
auxiliary;ADETS;;x;;;Account_Management;
Account_Management;ADLGL;x;;;;General_Ledger;[T] See ADLGS
Account_Management;ADLGS;;x;;;General_Ledger;[T] Get Ledger Account Info
Lending;ADLGS;;x;;;General_Ledger;Get Ledger Account Info
Financial_Markets;ADLGS;;x;;;General_Ledger;[T] Get Ledger Account Info
CORE;ADLGS;;x;;;General_Ledger;
auxiliary;ADLGS;;x;;;General_Ledger;
auxiliary;ADSNS;;x;;;General_Ledger;
Cash_Management;AEVTO;x;x;;;Account_Management;[T] Store Transactions / [T] Get Transactions
CORE;AEVTO;x;x;;;Account_Management;
auxiliary;AEVTO;x;x;;;Account_Management;
CORE;AEXRL;x;x;x;;CORE;
General_Ledger;AEXRS;;x;;;CORE;[T] Get booking ref
Account_Management;AEXRS;;x;;;CORE;
Lending;AEXRS;;x;;;CORE;
Financial_Markets;AEXRS;;x;;;CORE;
auxiliary;AEXRS;;x;;;CORE;
Account_Management;AFOLO;;x;;x;General_Ledger;
Financial_Markets;AFOLO;;x;;x;General_Ledger;
Cash_Management;AFOLO;;x;;x;General_Ledger;
CORE;AFOLO;;x;;x;General_Ledger;
