module;contains;element;name
General_Ledger;contains;table;AAISO
General_Ledger;contains;table;ABA1S
General_Ledger;contains;table;ABKTS
General_Ledger;contains;table;ABUDS
General_Ledger;contains;table;ADLGS
General_Ledger;contains;table;ADSNS
General_Ledger;contains;table;AFOLO
General_Ledger;contains;table;AGEXS
General_Ledger;contains;table;AJSTO
General_Ledger;contains;table;ALGRS
General_Ledger;contains;table;AMDCO
General_Ledger;contains;table;ANEUO
General_Ledger;contains;table;ARBRO
General_Ledger;contains;table;ARCDO
General_Ledger;contains;table;AROTO
General_Ledger;contains;table;ASTDO
General_Ledger;contains;table;ATRCS
General_Ledger;contains;table;ATRTS
General_Ledger;contains;table;DCBRO
General_Ledger;contains;table;IDPLO
General_Ledger;contains;table;LPRFS
General_Ledger;contains;table;LRCEO
General_Ledger;contains;table;LRCES
General_Ledger;contains;table;LSUPS
General_Ledger;contains;table;XFXAS
General_Ledger;contains;table;XFXCO
General_Ledger;contains;table;XFXTO
General_Ledger;contains;table;XGBAO
General_Ledger;contains;table;XGBUO
General_Ledger;contains;table;XGDCS
General_Ledger;contains;table;XGMVO
General_Ledger;contains;table;XGPAO
General_Ledger;contains;table;XGPMO
General_Ledger;contains;table;XHVBO
General_Ledger;contains;[I]program;AAIS5
General_Ledger;contains;[I]program;AAISO
General_Ledger;contains;[I]program;ABA1L
General_Ledger;contains;[I]program;ABAS1
General_Ledger;contains;[I]program;ABKT5
General_Ledger;contains;[I]program;ABKTA
General_Ledger;contains;[I]program;ABKTC
General_Ledger;contains;[I]program;ABKTL
General_Ledger;contains;[I]program;ABKTS
General_Ledger;contains;[I]program;ABUDL
General_Ledger;contains;[I]program;ABUDS
General_Ledger;contains;[I]program;ADLG4
General_Ledger;contains;[I]program;ADLG5
General_Ledger;contains;[I]program;ADLGL
General_Ledger;contains;[I]program;ADSN4
General_Ledger;contains;[I]program;ADSNL
General_Ledger;contains;[I]program;AEVTO
General_Ledger;contains;[I]program;AFOLC
General_Ledger;contains;[I]program;AFOLO
General_Ledger;contains;[I]program;AGEX4
General_Ledger;contains;[I]program;AGEXL
General_Ledger;contains;[I]program;AGEXS
General_Ledger;contains;[R]program;ALAUBKETAB
General_Ledger;contains;[R]program;ALDETPOL
General_Ledger;contains;[R]program;ALDLLGXINV
General_Ledger;contains;[I]program;ALGR4
General_Ledger;contains;[I]program;ALGRL
General_Ledger;contains;[I]program;ALGRS
General_Ledger;contains;[I]program;ALNDM
General_Ledger;contains;[I]program;AMDC4
General_Ledger;contains;[I]program;AMDC5
General_Ledger;contains;[I]program;AMDCM
General_Ledger;contains;[I]program;AMVTO
General_Ledger;contains;[G]program;AP-003ABA1-EXIST
General_Ledger;contains;[G]program;AP-010OFLREP
General_Ledger;contains;[R]program;APAGEXS
General_Ledger;contains;[I]program;ARBR1
General_Ledger;contains;[I]program;ARBRL
General_Ledger;contains;[I]program;ARBRO
General_Ledger;contains;[I]program;ARCDL
General_Ledger;contains;[I]program;ARCDM
