Table;C;R;U;D;Program
AADVO;;x;;;AUSTMCCR
AADVO;x;;;;AUBKEFOLRT
AADVO;;x;;x;AUMVTCLN
AADVO;;x;;;AUSTMKOC
AADVO;x;;;;AUBKEGEN
AADVO;;x;;;AUSTMLOJ
AADVO;;x;;;GLEASYSERV
AADVO;x;;;;AUCRADV
AADVO;;x;;;AUTLLWP
AADVO;;x;;;AUSTMTLL
AADVO;x;x;;;TODACCO
AADVO;;x;;x;LOJDELMVT
AADVO;x;;;;AUMDCFUP
AADVO;;x;;;AADV1
AADVO;;x;;;AUSTMPR2
AADVO;;x;;;AUSTMPRC
AADVO;x;;;;AUBKEGENRT
AADVO;x;;;;AUBKEGENRV
AADVO;;x;;;AUSTM942RT
AAFRL;x;;;;AAFRC
AAFRL;;x;;x;ALAFRAUT
AAFRO;x;x;x;x;AAFRC
AAFRO;;x;;;AAFR5
AAFRO;;x;;;AMDCG
AAFRO;;x;;;AMDCH
AAFRO;;x;;;AMDCF
AAFRO;;x;;;AMDCC
AAFRO;;x;;;AADVC
AAFRO;;x;;x;ALAFRAUT
AAISO;;x;;;AUBKEAIS
AAISO;x;x;x;x;AAISC
AAISO;;x;;;AAIS5
AASPL;;;x;x;ALDETAUT
AASPL;x;;;;AUEURPOL1
AASPL;x;;;;IBSPC
AASPL;x;;;;AAS2C
AASPL;x;;;;AASPS
AASPS;;;x;;DUDLLBE04
AASPS;;;x;;ILFWDCONAL
AASPS;;x;x;;AUEOYPOSE
AASPS;;x;x;;IUCRECNF
AASPS;;;x;;IUFLSHN
AASPS;;x;;;ILWARDTEDC
AASPS;;x;x;;DULDCLEAGE
AASPS;;;x;;ATXCM
AASPS;;;x;;ABA2C
AASPS;;;x;;LPHIF
AASPS;;x;;;GP-089CALC-ACRINT
AASPS;;;x;;ILDEALNUM
AASPS;;x;;;GP-149-CHK-ACC
AASPS;;;x;;LPHIC
AASPS;;;x;;CLCPACIRC
AASPS;;;x;;GI-060-RTR-CSHAO
AASPS;;;x;;ICCFC
AASPS;;x;;;GP-069-RESERVE2
AASPS;;;x;;ICCFB
AASPS;;;x;;LLCTPCLI
AASPS;;;x;;ILBGEVDL
AASPS;;;x;;DPMT5
AASPS;;;x;;DLLOGLST
AASPS;;x;x;;AUEXRASP
AASPS;;;x;;XLEXPFLIST
AASPS;;;x;;CLFACFLFCR
